item_id,store_id,macrogrupo,date,demanda_pronosticada,modelo
HOBBIES_1_001,CA_1,Tendencia,2016-04-25,0.96470237,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-04-26,0.9005236,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-04-27,0.9005236,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-04-28,0.92082536,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-04-29,1.0010009,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-04-30,1.2098107,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-01,1.1679356,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-02,1.0603005,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-03,1.027778,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-04,0.9774947,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-05,0.9390207,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-06,1.0602947,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-07,1.2807789,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-08,1.2217709,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-09,0.9970237,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-10,0.9642012,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-11,0.9726429,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-12,0.9774947,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-13,1.092791,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-14,1.2994773,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-15,1.3064036,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-16,1.0338415,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-17,0.9774947,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-18,0.93879235,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-19,0.9445673,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-20,1.0236118,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-21,1.2420763,XGBoost
HOBBIES_1_001,CA_1,Tendencia,2016-05-22,1.2420763,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-04-25,0.83182496,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-04-26,0.78539485,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-04-27,0.57348526,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-04-28,0.6210807,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-04-29,0.6682675,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-04-30,0.8172623,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-01,0.8635476,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-02,0.7349594,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-03,0.77125186,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-04,0.6871342,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-05,0.6522791,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-06,0.84038615,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-07,1.010776,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-08,0.9562713,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-09,0.86055595,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-10,0.8251972,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-11,0.6753467,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-12,0.69533134,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-13,0.7860922,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-14,0.943311,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-15,0.9524989,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-16,0.7666166,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-17,0.82196206,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-18,0.7092573,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-19,0.7092573,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-20,0.79501283,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-21,0.9381519,XGBoost
HOBBIES_1_009,CA_1,Tendencia,2016-05-22,0.96000487,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-04-25,1.5487257,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-04-26,1.4169376,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-04-27,1.4548558,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-04-28,1.5054322,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-04-29,1.6464578,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-04-30,1.7830334,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-01,1.969718,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-02,1.5868679,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-03,1.3863043,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-04,1.3831946,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-05,1.2949189,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-06,1.6376506,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-07,1.7395728,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-08,1.6854436,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-09,1.4575773,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-10,1.4490354,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-11,1.3397253,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-12,1.4086235,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-13,1.4453808,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-14,1.7425714,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-15,1.7425714,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-16,1.4297979,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-17,1.3457674,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-18,1.3783635,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-19,1.3159009,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-20,1.5211364,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-21,1.7051278,XGBoost
HOBBIES_1_014,CA_1,Tendencia,2016-05-22,1.8207748,XGBoost
HOBBIES_1_030,CA_1,Tendencia,2016-04-25,7.5577965,XGBoost
HOBBIES_1_030,CA_1,Tendencia,2016-04-26,7.4707527,XGBoost
HOBBIES_1_030,CA_1,Tendencia,2016-04-27,6.2534738,XGBoost
HOBBIES_1_030,CA_1,Tendencia,2016-04-28,6.7620726,XGBoost
