item_id,store_id,macrogrupo,date,demanda_pronosticada,modelo
HOBBIES_1_004,CA_1,Estacional,2016-04-25,1.9152443,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-04-26,1.4373664,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-04-27,1.5423113,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-04-28,1.7476468,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-04-29,2.0691488,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-04-30,3.1629393,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-01,2.801175,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-02,1.8341463,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-03,1.5535469,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-04,1.5505798,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-05,1.5854546,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-06,2.0966456,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-07,3.0919735,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-08,2.5767047,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-09,1.7604535,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-10,1.5829048,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-11,1.6185071,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-12,1.6443037,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-13,2.2014349,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-14,3.0262995,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-15,2.7886052,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-16,1.9242805,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-17,1.6027956,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-18,1.7101597,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-19,1.7716167,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-20,2.1190155,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-21,3.1280499,XGBoost
HOBBIES_1_004,CA_1,Estacional,2016-05-22,2.9679794,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-04-25,2.4017408,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-04-26,2.2494628,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-04-27,2.3655634,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-04-28,2.3689146,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-04-29,2.9815738,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-04-30,4.0485277,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-05-01,3.6591265,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-05-02,2.8132422,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-05-03,2.2745628,XGBoost
HOBBIES_1_015,CA_1,Estacional,2016-05-04,2.468064,XGBoost
